"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p10_m100_n40",10,100,40,4,10,"MLE",1000,0.375661294800627,0.00939153237001567,0.800304340079088,NA,NA,0.0158058428610619,0,0.000520000000000437,NA
"p10_m100_n40",10,100,40,4,10,"RWM",1000,0.661334120383747,0.0165333530095937,1.04008498571443,0.67035923855675,0.806,0.0167359722622858,0.960000000000036,0.969660000000003,0.052119279819955
"p20_m100_n80",20,100,80,4,5,"Collapsed",1000,1.29201340781268,0.0161501675976585,1.4909452819549,0.719329716818391,0.583,0.0296471448485955,0.130000000000109,0.132240000000025,NA
"p20_m100_n80",20,100,80,4,5,"MLE",1000,0.688397008361511,0.00860496260451889,1.00711209320352,NA,NA,0.0278913280278189,0,0.000599999999996726,NA
"p20_m100_n80",20,100,80,4,5,"RWM",1000,1.29373256024328,0.016171657003041,1.55489861247919,0.648792961485357,0.457,0.0297518258538068,1.32500000000027,1.33518000000001,0.0263580895223806
"p30_m100_n120",30,100,120,4,3.33333333333333,"Collapsed",1000,1.91955443529206,0.0159962869607671,2.05151626833271,0.725392284720618,0.278,0.0427970118718782,0.159999999999854,0.164030000000002,NA
"p30_m100_n120",30,100,120,4,3.33333333333333,"MLE",1000,0.983017852167672,0.0081918154347306,1.21594237382218,NA,NA,0.0401125107111053,0,0.000840000000001965,NA
"p30_m100_n120",30,100,120,4,3.33333333333333,"RWM",1000,1.92249093203935,0.0160207577669946,2.11319954414842,0.640718523336302,0.186,0.0428861231033757,2.03999999999996,2.04865999999999,0.0175133783445861
"p3_m100_n24",3,100,24,8,33.3333333333333,"Collapsed",1000,0.46770289216214,0.0194876205067558,1.43667839265581,1.34738663598753,0.939,0.00742513429886402,0.0999999999994543,0.100050000000018,NA
"p3_m100_n24",3,100,24,8,33.3333333333333,"MLE",1000,0.35646227430458,0.0148525947626908,1.39784913925772,NA,NA,0.0072393419347511,0,0.000279999999999745,NA
"p3_m100_n24",3,100,24,8,33.3333333333333,"RWM",1000,0.484945246327562,0.0202060519303151,1.57261630865663,1.3033387328981,0.9,0.00765040207085693,0.829999999999927,0.83228999999999,0.126935483870968
"p5_m100_n40",5,100,40,8,20,"Collapsed",1000,0.629887248571817,0.0157471812142954,1.54036243893948,1.4131865946493,0.927,0.00723265378135384,0.109999999999673,0.106330000000009,NA
"p5_m100_n40",5,100,40,8,20,"MLE",1000,0.385527495804914,0.00963818739512285,1.44809801905681,NA,NA,0.00689290993055357,0,0.000349999999998545,NA
"p5_m100_n40",5,100,40,8,20,"RWM",1000,0.648659355030213,0.0162164838757553,1.70661051706676,1.34771265331777,0.873,0.00747998960202423,0.890000000000327,0.901870000000002,0.0766341585396349
"p10_m100_n80",10,100,80,8,10,"Collapsed",1000,1.36797477142264,0.017099684642783,2.0109265433434,1.47796658679437,0.855,0.0098148922504594,0.109999999999673,0.112600000000018,NA
"p10_m100_n80",10,100,80,8,10,"MLE",1000,0.764506642485942,0.00955633303107428,1.64930694172623,NA,NA,0.00890248647323413,0,0.000369999999998981,NA
